[i] Train : 134472
[i] Valid : 14942
[i] restored LSEP Loss (Inception_ResNet_v2)
[i] max_iteration : 210100
[i] decay_iteration : [105050 157575]
[i] iter : 3700, loss : 11.2662, lsep_loss : 5.8202, topk_loss : 2.1003, conf_loss : 2.0598, l2_reg_loss : 1.2859, train_time : 29sec
[i] iter : 3750, loss : 11.3380, lsep_loss : 5.8787, topk_loss : 2.1101, conf_loss : 2.0628, l2_reg_loss : 1.2864, train_time : 29sec
[i] iter : 3800, loss : 11.2533, lsep_loss : 5.8049, topk_loss : 2.1178, conf_loss : 2.0437, l2_reg_loss : 1.2869, train_time : 29sec
[i] iter : 3850, loss : 11.2153, lsep_loss : 5.7910, topk_loss : 2.1238, conf_loss : 2.0132, l2_reg_loss : 1.2874, train_time : 29sec
[i] iter : 3900, loss : 11.3406, lsep_loss : 5.8978, topk_loss : 2.1319, conf_loss : 2.0230, l2_reg_loss : 1.2880, train_time : 29sec
[i] iter : 3950, loss : 11.1932, lsep_loss : 5.7844, topk_loss : 2.1374, conf_loss : 1.9831, l2_reg_loss : 1.2884, train_time : 29sec
[i] iter : 4000, loss : 11.1314, lsep_loss : 5.7395, topk_loss : 2.0995, conf_loss : 2.0035, l2_reg_loss : 1.2889, train_time : 29sec
[i] iter : 4050, loss : 11.3277, lsep_loss : 5.8343, topk_loss : 2.1488, conf_loss : 2.0552, l2_reg_loss : 1.2894, train_time : 29sec
[i] iter : 4100, loss : 11.3350, lsep_loss : 5.8691, topk_loss : 2.1017, conf_loss : 2.0742, l2_reg_loss : 1.2900, train_time : 29sec
[i] iter : 4150, loss : 11.3682, lsep_loss : 5.8967, topk_loss : 2.1254, conf_loss : 2.0556, l2_reg_loss : 1.2905, train_time : 29sec
[i] iter : 4200, loss : 11.0870, lsep_loss : 5.7436, topk_loss : 2.0820, conf_loss : 1.9705, l2_reg_loss : 1.2910, train_time : 30sec
[i] iter : 4250, loss : 11.3291, lsep_loss : 5.8762, topk_loss : 2.1014, conf_loss : 2.0600, l2_reg_loss : 1.2915, train_time : 29sec
[i] iter : 4300, loss : 11.2984, lsep_loss : 5.8504, topk_loss : 2.1490, conf_loss : 2.0070, l2_reg_loss : 1.2920, train_time : 29sec
[i] iter : 4350, loss : 11.3250, lsep_loss : 5.8612, topk_loss : 2.0845, conf_loss : 2.0869, l2_reg_loss : 1.2924, train_time : 30sec
[i] iter : 4400, loss : 11.3308, lsep_loss : 5.8751, topk_loss : 2.1029, conf_loss : 2.0599, l2_reg_loss : 1.2929, train_time : 29sec
[i] iter : 4450, loss : 11.2642, lsep_loss : 5.8086, topk_loss : 2.1189, conf_loss : 2.0434, l2_reg_loss : 1.2934, train_time : 29sec
[i] iter : 4500, loss : 11.3541, lsep_loss : 5.8865, topk_loss : 2.1022, conf_loss : 2.0715, l2_reg_loss : 1.2939, train_time : 29sec
[i] iter : 4550, loss : 11.1546, lsep_loss : 5.7618, topk_loss : 2.0816, conf_loss : 2.0168, l2_reg_loss : 1.2944, train_time : 29sec
[i] iter : 4600, loss : 11.0708, lsep_loss : 5.7105, topk_loss : 2.1022, conf_loss : 1.9632, l2_reg_loss : 1.2949, train_time : 29sec
[i] iter : 4650, loss : 11.1512, lsep_loss : 5.7048, topk_loss : 2.1243, conf_loss : 2.0267, l2_reg_loss : 1.2954, train_time : 29sec
[i] iter : 4700, loss : 11.2447, lsep_loss : 5.7966, topk_loss : 2.0993, conf_loss : 2.0529, l2_reg_loss : 1.2959, train_time : 29sec
[i] iter : 4750, loss : 11.2347, lsep_loss : 5.8053, topk_loss : 2.1142, conf_loss : 2.0189, l2_reg_loss : 1.2963, train_time : 29sec
[i] iter : 4800, loss : 11.1298, lsep_loss : 5.7596, topk_loss : 2.0971, conf_loss : 1.9762, l2_reg_loss : 1.2969, train_time : 29sec
[i] iter : 4850, loss : 11.2709, lsep_loss : 5.8665, topk_loss : 2.1018, conf_loss : 2.0052, l2_reg_loss : 1.2974, train_time : 29sec
[i] iter : 4900, loss : 11.1688, lsep_loss : 5.7849, topk_loss : 2.1034, conf_loss : 1.9827, l2_reg_loss : 1.2979, train_time : 29sec
